name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds
mux-sem.in, safe,  7.143,  2.686,  2.138,  4.394,  2.444,  0.009,  0.340,  217,  {0: 1; 1: 1; 2: 1; 3: 8; 4: 11; 5: 9; 6: 15; 7: 6},  {0: 5; 1: 7; 2: 7; 3: 7; 4: 7; 5: 7; 6: 7},  1,  5,  7,  0,  7 

network_safe_1_d_e-src_d-dst_e.in, safe,  136.577,  46.036,  70.904,  103.380,  32.196,  0.000,  16.188,  110,  {0: 1; 1: 1; 2: 4; 3: 3; 4: 8; 5: 8; 6: 5},  {0: 33; 1: 33; 2: 33; 3: 33; 4: 20; 5: 10},  0,  10,  10,  0,  11 

converging_safe_6_a3_b0-src_a3-dst_b0.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

german_07_harder_1.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

Distrib_Lamport.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

token_ring.in, safe,  30.163,  14.447,  10.556,  17.980,  11.024,  0.080,  3.518,  95,  {0: 1; 1: 2; 2: 2; 3: 7; 4: 7},  {0: 14; 1: 33; 2: 33; 3: 33},  2,  6,  15,  0,  8 

messenger_safe_2_a0_a2-src_a0-dst_a2.in, safe,  331.152,  210.686,  21.146,  139.083,  181.691,  0.000,  58.503,  953,  {0: 1; 1: 2; 2: 17; 3: 6; 4: 14; 5: 24; 6: 19; 7: 60; 8: 14; 9: 20; 10: 39},  {0: 34; 1: 34; 2: 34; 3: 25; 4: 25; 5: 25; 6: 25; 7: 25; 8: 17; 9: 17},  0,  17,  17,  0,  17 

moesi_ca.in, safe,  1.300,  0.440,  0.187,  0.563,  0.532,  0.008,  0.027,  83,  {0: 1; 1: 1; 2: 1; 3: 13; 4: 3},  {0: 8; 1: 8; 2: 8; 3: 8},  1,  6,  8,  0,  6 

reader.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

network_safe_5_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

network_safe_6_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

network_unsafe_2_d_e-src_d-dst_e.in, unsafe,  228.684,  81.544,  95.429,  175.118,  52.546,  0.303,  48.431,  57,  {0: 1; 1: 2; 2: 2; 3: 3; 4: 7},  {0: 72; 1: 47; 2: 27; 3: 12},  0,  12,  0,  0,  0 

network_unsafe_6_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

