name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds
simple.in, safe,  0.533,  0.190,  0.077,  0.263,  0.135,  0.010,  0.024,  34,  {0: 1; 1: 1; 2: 2; 3: 2; 4: 1},  {0: 3; 1: 5; 2: 5; 3: 5},  2,  2,  5,  0,  4 

arp_unsafe_1.in, unsafe,  1.692,  0.552,  0.307,  1.007,  0.420,  0.029,  0.189,  38,  {0: 1; 1: 5; 2: 3; 3: 2},  {0: 18; 1: 11},  0,  11,  0,  0,  0 

Fischer_from_tutorial.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

szymanski.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

system_1.in, safe,  6.119,  2.601,  1.531,  3.168,  2.648,  0.014,  0.222,  161,  {0: 1; 1: 3; 2: 6; 3: 7; 4: 15; 5: 1},  {0: 7; 1: 13; 2: 13; 3: 13; 4: 13},  1,  7,  13,  0,  11 

converging_unsafe_4_a2_b0-src_a2-dst_b0.in, unsafe,  107.149,  25.374,  8.547,  93.901,  12.449,  0.461,  69.314,  55,  {0: 1; 1: 1; 2: 6; 3: 6; 4: 3},  {0: 30; 1: 30; 2: 19},  0,  9,  0,  0,  0 

sequence_unsafe_4_s_d-src_s-dst_d.in, unsafe,  10.390,  1.398,  0.523,  9.067,  0.805,  0.251,  7.262,  47,  {0: 1; 1: 2; 2: 2; 3: 3; 4: 4},  {0: 24; 1: 17; 2: 11; 3: 6},  0,  6,  0,  0,  0 

ring_unsafe_4_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

szymanski+.in, safe,  1248.672,  801.229,  364.829,  513.757,  715.387,  0.050,  72.049,  350,  {0: 1; 1: 1; 2: 1; 3: 8; 4: 10; 5: 13; 6: 6; 7: 6; 8: 4; 9: 3},  {0: 11; 1: 39; 2: 39; 3: 63; 4: 39; 5: 39; 6: 39; 7: 39; 8: 39},  1,  4,  18,  0,  11 

