name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames
ring_unsafe_4_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  4 , 0, 0, 0, 0, 5 

controller.in, safe,  0.499,  0.117,  0.156,  0.291,  0.082,  0.000,  0.009,  66,  {0: 1; 1: 1; 2: 2; 3: 4},  {0: 4; 1: 4; 2: 4},  0,  3 ,  3,  0,  0, 0, 4 

network_unsafe_6_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  22 , 0, 0, 0, 0, 6 

mux-sem.in, safe,  7.098,  2.512,  2.277,  4.041,  2.762,  0.014,  0.061,  572,  {0: 1; 1: 1; 2: 2; 3: 6; 4: 7; 5: 7; 6: 12; 7: 5},  {0: 5; 1: 9; 2: 9; 3: 9; 4: 9; 5: 9; 6: 9},  1,  5 ,  9,  {'index': 1},  0, 0, 8 

Distrib_Lamport.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

carverW.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

ticket_o.in, safe,  37.297,  15.926,  12.211,  18.822,  16.912,  0.076,  0.151,  1228,  {0: 1; 1: 1; 2: 2; 3: 6; 4: 16; 5: 6; 6: 11; 7: 30; 8: 14; 9: 18},  {0: 10; 1: 13; 2: 13; 3: 13; 4: 13; 5: 13; 6: 13; 7: 13; 8: 13},  3,  5 ,  13,  {'index': 1},  0, 0, 10 

dijkstra.in, safe,  3176.345,  2120.614,  851.621,  1752.387,  1364.631,  0.132,  173.340,  2002,  {0: 1; 1: 1; 2: 1; 3: 8; 4: 3; 5: 6; 6: 13; 7: 25; 8: 13; 9: 42; 10: 10; 11: 7},  {0: 19; 1: 19; 2: 48; 3: 48; 4: 48; 5: 48; 6: 29; 7: 29; 8: 29; 9: 29; 10: 29},  2,  5 ,  13,  {'index': 2},  12, 0, 12 

ring_unsafe_1_s_d-src_s-dst_d.in, unsafe,  0.994,  0.278,  0.157,  0.719,  0.130,  0.037,  0.237,  60,  {0: 1; 1: 1; 2: 3},  {0: 13; 1: 5},  1,  1 ,  0,  {'index': 3},  0, 0, 3 

system_2.in, safe,  0.264,  0.080,  0.078,  0.121,  0.071,  0.000,  0.003,  20,  {0: 1; 1: 1; 2: 1},  {0: 8; 1: 8},  0,  8 ,  8,  0,  0, 0, 3 

Fischer.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  5 , 0, 0, 0, 0, 8 

messenger_safe_3_a0_a3-src_a0-dst_a3.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  15 , 0, 0, 0, 0, 8 

