name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames
jml.in, safe,  616.282,  267.358,  277.578,  448.648,  155.559,  0.112,  61.256,  1178,  {0: 1; 1: 2; 2: 3; 3: 3; 4: 5; 5: 7; 6: 10; 7: 10; 8: 11; 9: 11; 10: 7},  {0: 51; 1: 51; 2: 51; 3: 51; 4: 35; 5: 35; 6: 35; 7: 35; 8: 22; 9: 22},  2,  5 ,  11,  {'index': 3},  5, 0, 11 

sequence_safe_1_s_d-src_s-dst_d.in, safe,  1.221,  0.392,  0.407,  0.824,  0.260,  0.011,  0.103,  60,  {0: 1; 1: 1; 2: 3; 3: 2},  {0: 19; 1: 19; 2: 9},  1,  1 ,  7,  {'index': 2},  2, 0, 4 

network_safe_5_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  19 , 0, 0, 0, 0, 6 

illinois_ca.in, safe,  2.585,  0.854,  0.427,  0.980,  1.160,  0.014,  0.031,  370,  {0: 1; 1: 4; 2: 4; 3: 10; 4: 6; 5: 4},  {0: 9; 1: 9; 2: 9; 3: 9; 4: 9},  1,  6 ,  9,  {'index': 1},  0, 0, 6 

system.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

german_07_harder_1.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  11 , 0, 0, 0, 0, 7 

szymanski+.in, safe,  223.798,  157.295,  52.869,  149.717,  66.987,  0.035,  8.806,  832,  {0: 1; 1: 2; 2: 2; 3: 6; 4: 10; 5: 13; 6: 6},  {0: 11; 1: 27; 2: 27; 3: 27; 4: 27; 5: 27},  1,  4 ,  12,  {'index': 2},  9, 0, 7 

messenger_safe_1_a0_a1-src_a0-dst_a1.in, safe,  5.979,  2.286,  1.142,  2.719,  2.777,  0.000,  0.199,  573,  {0: 1; 1: 2; 2: 6; 3: 16; 4: 3; 5: 4},  {0: 17; 1: 11; 2: 11; 3: 11; 4: 8},  0,  7 ,  7,  0,  5, 0, 6 

