name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames
network_unsafe_6_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  22 , 0, 0, 0, 0, 6 

mux-sem.in, safe,  6.206,  2.109,  2.111,  4.113,  1.755,  0.010,  0.291,  155,  {0: 1; 1: 1; 2: 2; 3: 6; 4: 10; 5: 9; 6: 11},  {0: 5; 1: 8; 2: 8; 3: 8; 4: 8; 5: 8},  1,  5 ,  8,  {'index': 1},  0, 0, 7 

Distrib_Lamport.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

carverW.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

ticket_o.in, safe,  21.950,  8.725,  7.184,  14.488,  6.793,  0.044,  0.920,  358,  {0: 1; 1: 1; 2: 2; 3: 6; 4: 11; 5: 12; 6: 21; 7: 16; 8: 17},  {0: 10; 1: 11; 2: 11; 3: 11; 4: 11; 5: 11; 6: 11; 7: 11},  3,  5 ,  11,  {'index': 1},  0, 0, 9 

dijkstra.in, safe,  132.381,  59.749,  55.246,  78.276,  49.509,  0.030,  12.726,  208,  {0: 1; 1: 2; 2: 2; 3: 4; 4: 5; 5: 8; 6: 14; 7: 5},  {0: 13; 1: 25; 2: 25; 3: 25; 4: 25; 5: 25; 6: 25},  1,  5 ,  11,  {'index': 2},  10, 0, 8 

ring_unsafe_1_s_d-src_s-dst_d.in, unsafe,  1.591,  0.524,  0.228,  1.211,  0.211,  0.042,  0.491,  23,  {0: 1; 1: 1; 2: 3},  {0: 19; 1: 8},  1,  1 ,  0,  {'index': 3},  0, 0, 3 

system_2.in, safe,  0.263,  0.083,  0.079,  0.119,  0.071,  0.000,  0.002,  10,  {0: 1; 1: 1; 2: 1},  {0: 8; 1: 8},  0,  8 ,  8,  0,  0, 0, 3 

Fischer.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26,  5 , 0, 0, 0, 47, 8 

messenger_safe_3_a0_a3-src_a0-dst_a3.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  15 , 0, 0, 0, 0, 9 

sequence_unsafe_5_s_d-src_s-dst_d.in, unsafe,  480.543,  5.051,  1.584,  477.974,  1.226,  1.068,  470.979,  65,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 4; 5: 5},  {0: 37; 1: 28; 2: 20; 3: 13; 4: 7},  0,  5 ,  0,  {'index': 6},  0, 0, 6 

bakery_t.in, safe,  1307.556,  594.571,  512.504,  850.745,  427.848,  0.117,  182.054,  634,  {0: 1; 1: 1; 2: 1; 3: 4; 4: 26; 5: 19; 6: 13; 7: 10; 8: 9; 9: 11; 10: 20},  {0: 24; 1: 24; 2: 36; 3: 36; 4: 36; 5: 36; 6: 36; 7: 36; 8: 36; 9: 36},  2,  5 ,  15,  {'index': 2},  14, 0, 11 

alternating.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  12 , 0, 0, 0, 0, 6 

system_4.in, safe,  7.534,  3.604,  1.630,  3.530,  3.784,  0.000,  0.255,  178,  {0: 1; 1: 1; 2: 5; 3: 7; 4: 10; 5: 8},  {0: 9; 1: 9; 2: 9; 3: 9; 4: 9},  0,  9 ,  9,  0,  0, 0, 7 

